id,scenario,manipulation,category,rating
6,6,2,willingness,2
6,7,2,willingness,2
6,8,0,comfort,1
6,9,0,comfort,1
6,8,0,willingness,1
6,9,0,willingness,1
6,8,1,comfort,5
6,9,1,comfort,5
6,8,1,willingness,4
6,9,1,willingness,4
6,8,2,comfort,2
6,9,2,comfort,2
6,8,2,willingness,1
6,9,2,willingness,1
7,0,0,comfort,5
7,1,0,comfort,5
7,2,0,comfort,6
7,3,0,comfort,6
7,0,0,willingness,5
7,1,0,willingness,6
7,2,0,willingness,6
7,3,0,willingness,5
7,0,1,comfort,7
7,1,1,comfort,7
7,2,1,comfort,7
7,3,1,comfort,7
7,0,1,willingness,7
7,1,1,willingness,7
7,2,1,willingness,7
7,3,1,willingness,7
7,0,2,comfort,3
7,1,2,comfort,3
7,2,2,comfort,4
7,3,2,comfort,4
7,0,2,willingness,4
7,1,2,willingness,3
7,2,2,willingness,3
7,3,2,willingness,4
7,4,0,comfort,6
7,5,0,comfort,5
7,6,0,comfort,6
7,7,0,comfort,5
7,4,0,willingness,6
7,5,0,willingness,5
7,6,0,willingness,6
7,7,0,willingness,5
7,4,1,comfort,7
7,5,1,comfort,7
7,6,1,comfort,7
7,7,1,comfort,7
7,4,1,willingness,7
7,5,1,willingness,7
7,6,1,willingness,7
7,7,1,willingness,7
7,4,2,comfort,5
7,5,2,comfort,4
7,6,2,comfort,5
7,7,2,comfort,4
7,4,2,willingness,4
7,5,2,willingness,3
7,6,2,willingness,4
7,7,2,willingness,3
7,8,0,comfort,5
7,9,0,comfort,4
7,8,0,willingness,4
7,9,0,willingness,3
7,8,1,comfort,6
7,9,1,comfort,6
7,8,1,willingness,5
7,9,1,willingness,5
7,8,2,comfort,2
7,9,2,comfort,1
7,8,2,willingness,2
7,9,2,willingness,1
9,0,0,comfort,7
9,1,0,comfort,6
9,2,0,comfort,5
9,3,0,comfort,3
9,0,0,willingness,7
9,1,0,willingness,7
9,2,0,willingness,6
9,3,0,willingness,2
9,0,1,comfort,7
9,1,1,comfort,7
9,2,1,comfort,7
9,3,1,comfort,6
9,0,1,willingness,7
9,1,1,willingness,7
9,2,1,willingness,7
9,3,1,willingness,5
9,0,2,comfort,5
9,1,2,comfort,5
9,2,2,comfort,4
9,3,2,comfort,1
9,0,2,willingness,4
9,1,2,willingness,4
9,2,2,willingness,3
9,3,2,willingness,1
9,4,0,comfort,5
9,5,0,comfort,5
9,6,0,comfort,4
9,7,0,comfort,3
9,4,0,willingness,6
9,5,0,willingness,6
9,6,0,willingness,4
9,7,0,willingness,2
9,4,1,comfort,7
9,5,1,comfort,7
9,6,1,comfort,7
9,7,1,comfort,6
9,4,1,willingness,7
9,5,1,willingness,7
9,6,1,willingness,7
9,7,1,willingness,5
9,4,2,comfort,5
9,5,2,comfort,4
9,6,2,comfort,4
9,7,2,comfort,2
9,4,2,willingness,4
9,5,2,willingness,4
9,6,2,willingness,2
9,7,2,willingness,1
9,8,0,comfort,5
9,9,0,comfort,2
9,8,0,willingness,4
9,9,0,willingness,1
9,8,1,comfort,7
9,9,1,comfort,7
9,8,1,willingness,7
9,9,1,willingness,5
9,8,2,comfort,2
9,9,2,comfort,1
9,8,2,willingness,1
9,9,2,willingness,1
8,0,0,comfort,5
8,1,0,comfort,6
8,2,0,comfort,6
8,3,0,comfort,5
8,0,0,willingness,3
8,1,0,willingness,4
8,2,0,willingness,4
8,3,0,willingness,3
8,0,1,comfort,5
8,1,1,comfort,6
8,2,1,comfort,6
8,3,1,comfort,5
8,0,1,willingness,5
8,1,1,willingness,7
8,2,1,willingness,6
8,3,1,willingness,5
8,0,2,comfort,4
8,1,2,comfort,5
8,2,2,comfort,5
8,3,2,comfort,4
8,0,2,willingness,3
8,1,2,willingness,4
8,2,2,willingness,4
8,3,2,willingness,3
8,4,0,comfort,5
8,5,0,comfort,4
8,6,0,comfort,5
8,7,0,comfort,4
8,4,0,willingness,5
8,5,0,willingness,4
8,6,0,willingness,5
8,7,0,willingness,4
8,4,1,comfort,6
8,5,1,comfort,6
8,6,1,comfort,6
8,7,1,comfort,6
8,4,1,willingness,6
8,5,1,willingness,5
8,6,1,willingness,6
8,7,1,willingness,5
8,4,2,comfort,5
8,5,2,comfort,4
8,6,2,comfort,5
8,7,2,comfort,4
8,4,2,willingness,5
8,5,2,willingness,4
8,6,2,willingness,5
8,7,2,willingness,4
8,8,0,comfort,5
8,9,0,comfort,5
8,8,0,willingness,4
8,9,0,willingness,3
8,8,1,comfort,6
8,9,1,comfort,6
8,8,1,willingness,4
8,9,1,willingness,3
8,8,2,comfort,5
8,9,2,comfort,5
8,8,2,willingness,4
8,9,2,willingness,3
11,0,0,comfort,5
11,1,0,comfort,5
11,2,0,comfort,5
11,3,0,comfort,4
11,0,0,willingness,3
11,1,0,willingness,3
11,2,0,willingness,3
11,3,0,willingness,2
11,0,1,comfort,7
11,1,1,comfort,7
11,2,1,comfort,7
11,3,1,comfort,7
11,0,1,willingness,7
11,1,1,willingness,7
11,2,1,willingness,7
11,3,1,willingness,7
11,0,2,comfort,5
11,1,2,comfort,5
11,2,2,comfort,5
11,3,2,comfort,4
11,0,2,willingness,5
11,1,2,willingness,5
11,2,2,willingness,5
11,3,2,willingness,4
11,4,0,comfort,3
11,5,0,comfort,3
11,6,0,comfort,3
11,7,0,comfort,2
11,4,0,willingness,3
11,5,0,willingness,3
11,6,0,willingness,3
11,7,0,willingness,2
11,4,1,comfort,7
11,5,1,comfort,7
11,6,1,comfort,7
11,7,1,comfort,7
11,4,1,willingness,7
11,5,1,willingness,7
11,6,1,willingness,7
11,7,1,willingness,7
11,4,2,comfort,5
11,5,2,comfort,5
11,6,2,comfort,5
11,7,2,comfort,4
11,4,2,willingness,5
11,5,2,willingness,5
11,6,2,willingness,5
11,7,2,willingness,4
11,8,0,comfort,4
11,9,0,comfort,3
11,8,0,willingness,3
11,9,0,willingness,2
11,8,1,comfort,7
11,9,1,comfort,7
11,8,1,willingness,7
11,9,1,willingness,7
11,8,2,comfort,5
11,9,2,comfort,4
11,8,2,willingness,5
11,9,2,willingness,4
4,0,0,comfort,6
4,1,0,comfort,7
4,2,0,comfort,6
4,3,0,comfort,4
4,0,0,willingness,7
4,1,0,willingness,6
4,2,0,willingness,6
4,3,0,willingness,5
4,0,1,comfort,6
4,1,1,comfort,6
4,2,1,comfort,6
4,3,1,comfort,4
4,0,1,willingness,6
4,1,1,willingness,6
4,2,1,willingness,6
4,3,1,willingness,5
4,0,2,comfort,3
4,1,2,comfort,3
4,2,2,comfort,3
4,3,2,comfort,2
4,0,2,willingness,4
4,1,2,willingness,4
4,2,2,willingness,4
4,3,2,willingness,3
4,4,0,comfort,7
4,5,0,comfort,6
4,6,0,comfort,7
4,7,0,comfort,6
4,4,0,willingness,7
4,5,0,willingness,6
4,6,0,willingness,7
4,7,0,willingness,6
4,4,1,comfort,7
4,5,1,comfort,6
4,6,1,comfort,7
4,7,1,comfort,6
4,4,1,willingness,7
4,5,1,willingness,6
4,6,1,willingness,7
4,7,1,willingness,6
4,4,2,comfort,4
4,5,2,comfort,3
4,6,2,comfort,4
4,7,2,comfort,3
4,4,2,willingness,4
4,5,2,willingness,3
4,6,2,willingness,4
4,7,2,willingness,3
4,8,0,comfort,6
4,9,0,comfort,5
4,8,0,willingness,6
4,9,0,willingness,5
4,8,1,comfort,5
4,9,1,comfort,4
4,8,1,willingness,5
4,9,1,willingness,4
4,8,2,comfort,3
4,9,2,comfort,2
4,8,2,willingness,3
4,9,2,willingness,2
13,0,0,comfort,4
13,1,0,comfort,5
13,2,0,comfort,5
13,3,0,comfort,4
13,0,0,willingness,4
13,1,0,willingness,5
13,2,0,willingness,5
13,3,0,willingness,4
13,0,1,comfort,6
13,1,1,comfort,7
13,2,1,comfort,7
13,3,1,comfort,6
13,0,1,willingness,6
13,1,1,willingness,7
13,2,1,willingness,7
13,3,1,willingness,6
13,0,2,comfort,2
13,1,2,comfort,3
13,2,2,comfort,3
13,3,2,comfort,2
13,0,2,willingness,1
13,1,2,willingness,2
13,2,2,willingness,2
13,3,2,willingness,1
13,4,0,comfort,5
13,5,0,comfort,5
13,6,0,comfort,6
13,7,0,comfort,3
13,4,0,willingness,4
13,5,0,willingness,5
13,6,0,willingness,5
13,7,0,willingness,3
13,4,1,comfort,6
13,5,1,comfort,7
13,6,1,comfort,7
13,7,1,comfort,5
13,4,1,willingness,6
13,5,1,willingness,7
13,6,1,willingness,7
13,7,1,willingness,4
13,4,2,comfort,1
13,5,2,comfort,2
13,6,2,comfort,3
13,7,2,comfort,1
13,4,2,willingness,2
13,5,2,willingness,2
13,6,2,willingness,2
13,7,2,willingness,1
13,8,0,comfort,5
13,9,0,comfort,2
13,8,0,willingness,5
13,9,0,willingness,1
13,8,1,comfort,6
13,9,1,comfort,3
13,8,1,willingness,6
13,9,1,willingness,2
13,8,2,comfort,2
13,9,2,comfort,1
13,8,2,willingness,1
13,9,2,willingness,1
12,0,0,comfort,6
12,1,0,comfort,7
12,2,0,comfort,7
12,3,0,comfort,4
12,0,0,willingness,6
12,1,0,willingness,7
12,2,0,willingness,7
12,3,0,willingness,4
12,0,1,comfort,7
12,1,1,comfort,7
12,2,1,comfort,7
12,3,1,comfort,7
12,0,1,willingness,7
12,1,1,willingness,7
12,2,1,willingness,7
12,3,1,willingness,7
12,0,2,comfort,5
12,1,2,comfort,7
12,2,2,comfort,7
12,3,2,comfort,4
12,0,2,willingness,5
12,1,2,willingness,6
12,2,2,willingness,6
12,3,2,willingness,4
12,4,0,comfort,6
12,5,0,comfort,3
12,6,0,comfort,6
12,7,0,comfort,3
12,4,0,willingness,6
12,5,0,willingness,4
12,6,0,willingness,5
12,7,0,willingness,3
12,4,1,comfort,7
12,5,1,comfort,7
12,6,1,comfort,7
12,7,1,comfort,7
12,4,1,willingness,7
12,5,1,willingness,7
12,6,1,willingness,7
12,7,1,willingness,7
12,4,2,comfort,7
12,5,2,comfort,6
12,6,2,comfort,6
12,7,2,comfort,5
12,4,2,willingness,7
12,5,2,willingness,6
12,6,2,willingness,6
12,7,2,willingness,5
12,8,0,comfort,4
12,9,0,comfort,2
12,8,0,willingness,3
12,9,0,willingness,2
12,8,1,comfort,7
12,9,1,comfort,7
12,8,1,willingness,7
12,9,1,willingness,7
12,8,2,comfort,4
12,9,2,comfort,3
12,8,2,willingness,4
12,9,2,willingness,3
10,0,0,comfort,5
10,1,0,comfort,6
10,2,0,comfort,6
10,3,0,comfort,5
10,0,0,willingness,4
10,1,0,willingness,7
10,2,0,willingness,5
10,3,0,willingness,4
10,0,1,comfort,7
10,1,1,comfort,7
10,2,1,comfort,7
10,3,1,comfort,7
10,0,1,willingness,7
10,1,1,willingness,7
10,2,1,willingness,7
10,3,1,willingness,7
10,0,2,comfort,3
10,1,2,comfort,5
10,2,2,comfort,5
10,3,2,comfort,3
10,0,2,willingness,4
10,1,2,willingness,5
10,2,2,willingness,5
10,3,2,willingness,4
10,4,0,comfort,6
10,5,0,comfort,5
10,6,0,comfort,6
10,7,0,comfort,5
10,4,0,willingness,6
10,5,0,willingness,6
10,6,0,willingness,6
10,7,0,willingness,5
10,4,1,comfort,7
10,5,1,comfort,7
10,6,1,comfort,7
10,7,1,comfort,7
10,4,1,willingness,7
10,5,1,willingness,7
10,6,1,willingness,7
10,7,1,willingness,7
10,4,2,comfort,5
10,5,2,comfort,4
10,6,2,comfort,5
10,7,2,comfort,3
10,4,2,willingness,5
10,5,2,willingness,4
10,6,2,willingness,4
10,7,2,willingness,3
10,8,0,comfort,4
10,9,0,comfort,3
10,8,0,willingness,4
10,9,0,willingness,3
10,8,1,comfort,7
10,9,1,comfort,7
10,8,1,willingness,7
10,9,1,willingness,7
10,8,2,comfort,5
10,9,2,comfort,4
10,8,2,willingness,5
10,9,2,willingness,4
